City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Severo-Kurilsk,RU,2022-12-07 20:53:58,50.6789,156.125,27.88,82,99,15.12
160,Karratha,AU,2022-12-07 20:57:02,-20.7377,116.8463,75.96,56,1,13.29
161,Manoel Urbano,BR,2022-12-07 20:57:03,-8.8389,-69.2597,91.69,41,48,2.59
162,Emerald,AU,2022-12-07 20:57:04,-23.5333,148.1667,79.34,61,7,13.73
163,Qui Nhon,VN,2022-12-07 20:57:05,13.7667,109.2333,75.99,90,93,14.23
164,Mount Gambier,AU,2022-12-07 20:57:06,-37.8333,140.7667,52.36,56,69,11.12
165,Cairns,AU,2022-12-07 20:56:32,-16.9167,145.7667,73.35,88,40,1.14
166,Acapulco,MX,2022-12-07 20:55:13,16.8634,-99.8901,83.98,64,14,6.58
167,Sicamous,CA,2022-12-07 20:57:09,50.8331,-118.9856,32.18,82,86,2.73
168,Narsaq,GL,2022-12-07 20:57:11,60.9167,-46.05,24.28,72,99,5.88
169,Lhokseumawe,ID,2022-12-07 20:57:12,5.1801,97.1507,77.4,85,100,5.59
170,Yaounde,CM,2022-12-07 20:54:18,3.8667,11.5167,67.69,95,52,3.27
171,Iglesias,IT,2022-12-07 20:57:13,39.3114,8.535,50.79,87,100,2.68
172,Ibotirama,BR,2022-12-07 20:57:16,-12.1853,-43.2206,80.55,66,67,0.92
173,Okato,NZ,2022-12-07 20:57:16,-39.2,173.8833,61.92,100,100,8.43
174,Chaohu,CN,2022-12-07 20:57:17,31.6,117.8667,46.96,84,100,3.47
175,Roma,US,2022-12-07 20:56:04,43.2128,-75.4557,53.96,96,100,6.91
176,Salalah,OM,2022-12-07 20:57:17,17.0151,54.0924,74.53,71,27,4.61
177,Najran,SA,2022-12-07 20:57:18,17.4924,44.1277,65.05,29,4,1.16
178,Yellowknife,CA,2022-12-07 20:57:19,62.456,-114.3525,-17.88,76,20,6.91
179,Ilulissat,GL,2022-12-07 20:57:20,69.2167,-51.1,26.11,81,100,6.15
180,Krasnoselkup,RU,2022-12-07 20:58:20,65.7,82.4667,6.64,95,100,16.11
181,Tevaitoa,PF,2022-12-07 20:58:21,-16.7833,-151.5,80.96,74,100,21.61
182,Portobelo,PA,2022-12-07 20:58:21,9.55,-79.65,84.96,74,14,11.99
183,Vagur,FO,2022-12-07 20:58:21,61.4732,-6.8119,35.08,65,100,24.83
184,Hays,US,2022-12-07 20:58:22,30.0502,-98.0336,80.67,65,65,5.01
185,Bathsheba,BB,2022-12-07 20:58:22,13.2167,-59.5167,83.01,81,20,8.05
186,Kapiri Mposhi,ZM,2022-12-07 20:58:23,-13.9652,28.6809,64.6,80,57,2.44
187,Hanzhong,CN,2022-12-07 20:58:23,33.0728,107.0303,41.74,74,100,0.74
188,Jalu,LY,2022-12-07 20:58:23,29.0331,21.5482,66.25,45,21,9.33
189,Coahuayana,MX,2022-12-07 20:58:24,18.7333,-103.6833,86.29,59,6,6.33
190,Zhangye,CN,2022-12-07 20:58:24,38.9342,100.4517,21.79,62,96,3.89
191,Souillac,MU,2022-12-07 20:58:24,-20.5167,57.5167,75.58,88,75,13.8
192,Chuy,UY,2022-12-07 20:58:25,-33.6971,-53.4616,75.29,58,2,11.65
193,Zarand,IR,2022-12-07 20:58:25,30.8127,56.564,50.52,72,85,4.36
194,Cidreira,BR,2022-12-07 20:58:26,-30.1811,-50.2056,72.91,78,0,7.49
195,Labinsk,RU,2022-12-07 20:58:26,44.6342,40.7356,33.57,71,46,8.61
196,Ekibastuz,KZ,2022-12-07 20:58:26,51.6667,75.3667,-14.85,100,59,3.44
197,Bauska,LV,2022-12-07 20:58:27,56.4075,24.1906,33.24,99,100,11.65
198,Touho,NC,2022-12-07 20:58:27,-20.7833,165.2333,77.18,86,96,6.17
199,Broken Hill,AU,2022-12-07 20:58:28,-31.95,141.4333,52.0,46,0,21.34
200,Crixas,BR,2022-12-07 20:58:28,-14.5489,-49.9692,81.97,66,100,1.5
201,Guerrero Negro,MX,2022-12-07 20:56:44,27.9769,-114.0611,65.98,53,2,15.64
202,Shimoda,JP,2022-12-07 20:58:28,34.6667,138.95,45.1,69,0,19.66
203,Ossora,RU,2022-12-07 20:58:29,59.2353,163.0719,10.92,86,90,4.36
204,Atikokan,CA,2022-12-07 20:53:33,48.7555,-91.6216,2.08,61,0,0.78
205,Saskylakh,RU,2022-12-07 20:58:30,71.9167,114.0833,-28.03,98,99,4.65
